name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bareilly,2020-01-01,68.4,39.8,53.5,68.4,39.8,53.5,46.1,78.3,0,0,0,,0,0,12.1,4.7,68.9,1021.5,71.2,0.7,157.3,13.7,6,,2020-01-01T07:04:27,2020-01-01T17:26:46,0.19,Partially cloudy,Partly cloudy throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-02,71,49.5,58.6,71,48.2,58.5,50.7,76.9,0.02,100,12.5,rain,0,0,18.6,9.6,67.7,1021.2,71.7,1.1,123.9,10.6,5,,2020-01-02T07:04:43,2020-01-02T17:27:27,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-03,68.1,53.3,58.8,68.1,53.3,58.8,52.5,80.2,0.316,100,41.67,rain,0,0,17.7,7.4,57.9,1018.9,46.6,1.2,106.6,9.2,5,,2020-01-03T07:04:57,2020-01-03T17:28:09,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-04,67.7,48.6,56.4,67.7,47.5,56.3,52.7,88.2,0.008,100,8.33,rain,0,0,14.1,6.3,349.5,1017.8,46.6,1,138.8,12,6,,2020-01-04T07:05:10,2020-01-04T17:28:52,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-05,65.7,47,55.7,65.7,47,55.7,50.2,83.3,0,0,0,,0,0,18.3,9.4,284.6,1017.6,21.3,0.9,169.9,14.6,7,,2020-01-05T07:05:21,2020-01-05T17:29:35,0.32,Partially cloudy,Becoming cloudy in the afternoon.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-06,68.1,48.3,57.7,68.1,48.3,57.7,50.1,76.9,0,0,0,,0,0,19.2,10.1,282.8,1018.5,60.6,1.1,137.9,11.8,6,,2020-01-06T07:05:31,2020-01-06T17:30:20,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-07,66.3,53.9,58.1,66.3,53.9,58.1,54.5,88.2,0.008,100,4.17,rain,0,0,11.4,4.7,51.5,1017.6,83.3,0.7,85.3,7.4,4,,2020-01-07T07:05:39,2020-01-07T17:31:05,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-08,60.2,52.8,56,60.2,52.8,56,54.6,95.3,0.906,100,12.5,rain,0,0,18.1,8.3,100.4,1015.1,91.2,0.7,82.4,7,4,,2020-01-08T07:05:46,2020-01-08T17:31:50,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-09,59.8,48.8,54.9,59.8,48.8,54.9,52.1,90.7,0.591,100,8.33,rain,0,0,16.1,8.5,275.6,1018,60.6,1.1,115.7,9.9,4,,2020-01-09T07:05:51,2020-01-09T17:32:37,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-10,63.1,46.5,51.3,63.1,42.3,50.4,47.7,88.2,0,0,0,,0,0,17.7,9.2,280.9,1019.4,8.5,0.5,176.5,15.3,7,,2020-01-10T07:05:54,2020-01-10T17:33:23,0.48,Clear,Clear conditions throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-11,62,46.1,51.5,62,43.7,50.7,48.1,88.9,0,0,0,,0,0,13.2,5.8,261.1,1019.6,22.1,0.3,169.9,14.8,6,,2020-01-11T07:05:56,2020-01-11T17:34:11,0.5,Partially cloudy,Partly cloudy throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-12,63.8,44.1,50.6,63.8,43.3,50,47.9,91.2,0,0,0,,0,0,12.1,5.4,261.6,1017,43.5,0.3,149.9,13,6,,2020-01-12T07:05:56,2020-01-12T17:34:58,0.55,Partially cloudy,Partly cloudy throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-13,65.6,43.4,52.9,65.6,42.1,52.8,50.1,90.9,0.106,100,8.33,rain,0,0,13.6,7.2,119.3,1013.5,46.8,0.2,157.8,13.6,6,,2020-01-13T07:05:55,2020-01-13T17:35:46,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-14,66.9,51.2,57.9,66.9,51.2,57.9,53.9,87.1,0.195,100,33.33,rain,0,0,8.3,4.3,356.4,1014.9,55.8,0.8,110.6,9.5,5,,2020-01-14T07:05:52,2020-01-14T17:36:35,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-15,68.1,53,59.8,68.1,53,59.8,55.3,85.6,0,0,0,,0,0,11.2,6.5,308.6,1015.8,59.5,0.8,121.7,10.6,5,,2020-01-15T07:05:47,2020-01-15T17:37:24,0.66,Partially cloudy,Partly cloudy throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-16,65.6,56.4,60,65.6,56.4,60,56.5,88.4,0.087,100,8.33,rain,0,0,16.8,5.1,77.3,1015.2,79.9,0.8,99.3,8.5,5,,2020-01-16T07:05:41,2020-01-16T17:38:13,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-17,59.8,51.9,57.5,59.8,51.9,57.5,56.5,96.5,0.582,100,12.5,rain,0,0,13,7.8,76.9,1016.2,88.1,0.9,40.8,3.5,2,,2020-01-17T07:05:33,2020-01-17T17:39:02,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-18,63.1,51.5,57,63.1,51.5,57,54.9,93.2,0.032,100,20.83,rain,0,0,11.2,4.7,9.2,1018.1,65.6,0.6,126.5,10.8,5,,2020-01-18T07:05:24,2020-01-18T17:39:51,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-19,64.3,50.3,55.5,64.3,50.3,55.5,51.5,87.2,0,0,0,,0,0,19.5,8.7,294.8,1018,19,0.8,183.6,15.9,7,,2020-01-19T07:05:13,2020-01-19T17:40:41,0.8,Clear,Clear conditions throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-20,62,49.4,53.4,62,49.4,53.4,50.3,89.7,0,0,0,,0,0,15.4,8.5,276.7,1018.4,63.1,0.6,174.7,15,7,,2020-01-20T07:05:01,2020-01-20T17:41:31,0.84,Partially cloudy,Partly cloudy throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-21,65.4,48.3,54.8,65.4,48.3,54.6,50.9,87.4,0,0,0,,0,0,8.9,5.8,256.8,1019.2,57.7,0.8,166.5,14.5,7,,2020-01-21T07:04:47,2020-01-21T17:42:21,0.87,Partially cloudy,Partly cloudy throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-22,68.8,45.2,55.1,68.8,45.2,54.5,50.6,86.1,0,0,0,,0,0,15.9,9.2,291.1,1019.8,4,0.6,185,16,7,,2020-01-22T07:04:31,2020-01-22T17:43:11,0.91,Clear,Clear conditions throughout the day.,fog,"42148099999,remote,42189099999,42266099999"
bareilly,2020-01-23,67.2,47.6,56.2,67.2,44.5,55.8,46.9,73.9,0,0,0,,0,0,25.7,14.1,285.1,1017.5,3.3,1.1,192.3,16.6,7,,2020-01-23T07:04:14,2020-01-23T17:44:01,0.94,Clear,Clear conditions throughout the day.,clear-day,"42148099999,remote,42189099999,42266099999"
